ID,Score,label
R10830.bam,-2.68540650574106,1
R10831_R.bam,-4.23842259084301,1
R10832.bam,-3.44055575353027,0
R10833.bam,-4.27910117399096,0
R10834.bam,-3.91044575324423,0
R10835_R.bam,-3.92290453635516,0
R10836.bam,-3.41372223045546,0
R10837.bam,-4.2811830877069,0
R10838.bam,-2.72491057286541,0
R10839_R.bam,-5.03980585654695,0
R10840_R.bam,-2.54931078570651,0
R10841.bam,-6.39368934402239,0
R10842.bam,-3.31726962698117,0
R10843.bam,-3.11880430241505,0
R10844.bam,-3.25510906410767,0
R10845.bam,-3.14064922676164,0
R10846.bam,-2.12046503127834,0
R10847.bam,-2.50205495682287,0
R10848.bam,-5.29144860937376,0
R10849.bam,-4.67743690713512,0
R10850.bam,-5.58424542497471,0
R10851.bam,-2.95590765456362,0
R10852_R.bam,-2.10594729228015,0
R10853_R.bam,-3.52106059840548,0
R10854_R.bam,-3.11283815639111,0
R10855.bam,-2.41237402384098,0
R10856.bam,-3.15110000625358,0
R10857.bam,-3.1506599402218,0
R10858.bam,-1.6807830359166,0
R10859.bam,-3.61827611913369,0
R10860.bam,-2.99614732890732,0
R10861.bam,-4.47634634964161,0
R10862.bam,-3.45420275994277,0
R10863_R.bam,-0.928006996637761,0
R10864_R.bam,-1.738677242907,1
R10865.bam,-1.79286208756055,1
R10866_R.bam,-0.452104169026383,1
R10867.bam,-1.99186590859193,1
R10868.bam,-0.61614728596408,1
R10869.bam,-3.636630724191,1
R10870.bam,-1.32346050609881,1
R10871_R.bam,-3.49926428100476,1
R10872_R.bam,-3.0710461082847,1
R10873.bam,-2.89634439765474,1
R10874.bam,-0.0338378612682357,1
R10875.bam,-4.09054758275529,1
R10882.bam,-4.28439467786661,0
R10883.bam,-5.61892031019472,0
R10884_R.bam,-1.67627899400947,0
R10885.bam,-1.52137157771764,0
R10886_2.bam,-5.8355096245874,0
R10887.bam,-2.13841127495665,0
